longitude,latitude,details
-91.01613, 30.40748, "Burger King; USA"
-91.10969, 30.39465, "Burger King; USA"
-91.09046, 30.39223, "Burger King; USA"
-91.11054, 30.43260, "Burger King; USA"
-91.13946, 30.45076, "Burger King; USA"
-81.80918, 26.61267, "Burger King; USA"
-83.08991, 42.50510, "Burger King; USA"
-83.16485, 42.44588, "Burger King; USA"
-83.10666, 42.53432, "Burger King; USA"
-83.12971, 42.56284, "Burger King; USA"
-83.12900, 42.59036, "Burger King; USA"
-88.14356, 30.67586, "Burger King; USA"
-88.11067, 30.74457, "Burger King; USA"
-88.11604, 30.70145, "Burger King; USA"
-88.11352, 30.67627, "Burger King; USA"
-88.22244, 30.68424, "Burger King; USA"
-88.14965, 30.71991, "Burger King; USA"
-88.16959, 30.59206, "Burger King; USA"
-88.13782, 30.63984, "Burger King; USA"
-88.19094, 30.64016, "Burger King; USA"
-122.40896, 47.19175, "Burger King; USA"
-122.46053, 47.18959, "Burger King; USA"
-122.47398, 47.22247, "Burger King; USA"
-122.53705, 47.22419, "Burger King; USA"
-122.51525, 47.16675, "Burger King; USA"
-122.58719, 47.09669, "Burger King; USA"
-97.20646, 31.48001, "Burger King; USA"
-97.12839, 31.53829, "Burger King; USA"
-97.18763, 31.53070, "Burger King; USA"
-97.08613, 31.59561, "Burger King; USA"
-97.40810, 31.44454, "Burger King; USA"
-86.58344, 34.72933, "Burger King; USA"
-86.62722, 34.72322, "Burger King; USA"
-86.60004, 34.74028, "Burger King; USA"
-86.68608, 34.74649, "Burger King; USA"
-86.69313, 34.70033, "Burger King; USA"
-86.63798, 34.75407, "Burger King; USA"
-86.53713, 34.79769, "Burger King; USA"
-86.58577, 34.77157, "Burger King; USA"
-86.56681, 34.64387, "Burger King; USA"
-86.56674, 34.61159, "Burger King; USA"
-85.13525, 41.07679, "Burger King; USA"
-85.19819, 41.06926, "Burger King; USA"
-85.13539, 41.11992, "Burger King; USA"
-85.13764, 41.09775, "Burger King; USA"
-85.09667, 41.17906, "Burger King; USA"
-85.06139, 41.12064, "Burger King; USA"
-85.16065, 41.13277, "Burger King; USA"
-85.13699, 41.17817, "Burger King; USA"
-85.13512, 41.11388, "Burger King; USA"
-85.16148, 41.05097, "Burger King; USA"
-81.03569, 36.94630, "Burger King; USA"
-81.06892, 36.95116, "Burger King; USA"
-80.94443, 36.94179, "Burger King; USA"
-95.31361, 29.90292, "Burger King; USA"
-95.23829, 30.10454, "Burger King; USA"
-95.18424, 30.05024, "Burger King; USA"
-95.17247, 29.99837, "Burger King; USA"
-94.98299, 29.80490, "Burger King; USA"
-95.27096, 30.00158, "Burger King; USA"
-95.12252, 29.66375, "Burger King; USA"
-95.12372, 29.69978, "Burger King; USA"
-95.34529, 29.93878, "Burger King; USA"
-95.15888, 29.64990, "Burger King; USA"
-76.70196, 38.99164, "Burger King; USA"
-76.94434, 38.83646, "Burger King; USA"
-77.00029, 38.81951, "Burger King; USA"
-76.75780, 38.98636, "Burger King; USA"
-76.97920, 38.80452, "Burger King; USA"
-105.05321, 39.75493, "Burger King; USA"
-105.11636, 39.74012, "Burger King; USA"
-105.06707, 39.74031, "Burger King; USA"
-105.21647, 39.75296, "Burger King; USA"
-104.96771, 39.73979, "Burger King; USA"
-104.95100, 39.71877, "Burger King; USA"
-104.82402, 39.69654, "Burger King; USA"
-104.84769, 39.72620, "Burger King; USA"
-104.80995, 39.76984, "Burger King; USA"
-104.87558, 39.70883, "Burger King; USA"
-104.84715, 39.69681, "Burger King; USA"
-104.81032, 39.73997, "Burger King; USA"
-104.84694, 39.77970, "Burger King; USA"
-104.90530, 39.69916, "Burger King; USA"
-104.90323, 39.74009, "Burger King; USA"
-105.02522, 39.74527, "Burger King; USA"
-105.32863, 39.69849, "Burger King; USA"
-104.79602, 39.62769, "Burger King; USA"
-104.80946, 39.65302, "Burger King; USA"
-104.98756, 39.67825, "Burger King; USA"
-104.79153, 39.67345, "Burger King; USA"
-104.75409, 39.61423, "Burger King; USA"
-105.00037, 39.74003, "Burger King; USA"
-104.98728, 39.72584, "Burger King; USA"
-105.08225, 39.63872, "Burger King; USA"
-105.05325, 39.71119, "Burger King; USA"
-105.10843, 39.62490, "Burger King; USA"
-105.10969, 39.68025, "Burger King; USA"
-78.03825, 39.36100, "Burger King; USA"
-77.98857, 39.46205, "Burger King; USA"
-77.84442, 39.29249, "Burger King; USA"
-77.86000, 39.28817, "Burger King; USA"
-77.98525, 39.54066, "Burger King; USA"
-80.28874, 25.77798, "Burger King; USA"
-80.19356, 25.76640, "Burger King; USA"
-80.28552, 25.78238, "Burger King; USA"
-80.18897, 25.79150, "Burger King; USA"
-80.24318, 25.75024, "Burger King; USA"
-80.23780, 25.73908, "Burger King; USA"
-80.30952, 25.92898, "Burger King; USA"
-80.30683, 25.94067, "Burger King; USA"
-80.24016, 25.80918, "Burger King; USA"
-80.25566, 25.77904, "Burger King; USA"
-80.26315, 25.77168, "Burger King; USA"
-80.18335, 25.96480, "Burger King; USA"
-80.13441, 25.81353, "Burger King; USA"
-80.26621, 25.86738, "Burger King; USA"
-80.32792, 25.88415, "Burger King; USA"
-80.30090, 25.86670, "Burger King; USA"
-80.29385, 25.93299, "Burger King; USA"
-80.29223, 25.89860, "Burger King; USA"
-80.33006, 25.91253, "Burger King; USA"
-80.24148, 25.84696, "Burger King; USA"
-80.26605, 25.83050, "Burger King; USA"
-118.44524, 34.06369, "Burger King; USA"
-118.30907, 33.90171, "Burger King; USA"
-118.28601, 33.83979, "Burger King; USA"
-118.37655, 33.77650, "Burger King; USA"
-118.37918, 33.87289, "Burger King; USA"
-118.32647, 33.86540, "Burger King; USA"
-118.28935, 33.80983, "Burger King; USA"
-118.37045, 33.83757, "Burger King; USA"
-118.27408, 33.77851, "Burger King; USA"
-118.36718, 33.91635, "Burger King; USA"
-118.30699, 33.87295, "Burger King; USA"
-118.29231, 33.74440, "Burger King; USA"
-83.04073, 42.33013, "Burger King; USA"
-82.99257, 42.41242, "Burger King; USA"
-83.03374, 42.34998, "Burger King; USA"
-83.19690, 42.35641, "Burger King; USA"
-82.96581, 42.38425, "Burger King; USA"
-83.10902, 42.31565, "Burger King; USA"
-83.12749, 42.39098, "Burger King; USA"
-83.07661, 42.37526, "Burger King; USA"
-82.92558, 42.40761, "Burger King; USA"
-83.02446, 42.44143, "Burger King; USA"
-83.00761, 42.38948, "Burger King; USA"
-90.26446, 38.65164, "Burger King; USA"
-90.25259, 38.67669, "Burger King; USA"
-90.19689, 38.61399, "Burger King; USA"
-90.29174, 38.60282, "Burger King; USA"
-90.33568, 38.61184, "Burger King; USA"
-90.22276, 38.60617, "Burger King; USA"
-90.34613, 38.63217, "Burger King; USA"
-90.24472, 38.58695, "Burger King; USA"
-90.32549, 38.57993, "Burger King; USA"
-90.40888, 38.55537, "Burger King; USA"
-76.08908, 43.07559, "Burger King; USA"
-76.17141, 43.09354, "Burger King; USA"
-76.22663, 43.04847, "Burger King; USA"
-76.14222, 43.01040, "Burger King; USA"
-76.14664, 43.06003, "Burger King; USA"
-76.16926, 43.05363, "Burger King; USA"
-76.12594, 43.05002, "Burger King; USA"
-76.19034, 43.03327, "Burger King; USA"
-76.15067, 43.04066, "Burger King; USA"
-76.18384, 43.04345, "Burger King; USA"
-97.31476, 37.64990, "Burger King; USA"
-97.33682, 37.60788, "Burger King; USA"
-97.20398, 37.67864, "Burger King; USA"
-86.23483, 39.71591, "Burger King; USA"
-86.24798, 39.75351, "Burger King; USA"
-86.08670, 39.85549, "Burger King; USA"
-86.29186, 39.76408, "Burger King; USA"
-86.12463, 39.78129, "Burger King; USA"
-86.21554, 39.78750, "Burger King; USA"
-86.11943, 39.73787, "Burger King; USA"
-86.12070, 39.71281, "Burger King; USA"
-86.15080, 39.75165, "Burger King; USA"
-86.21953, 39.80853, "Burger King; USA"
-93.77382, 32.54055, "Burger King; USA"
-93.74608, 32.49552, "Burger King; USA"
-93.76332, 32.48161, "Burger King; USA"
-93.80007, 32.47347, "Burger King; USA"
-93.78106, 32.44901, "Burger King; USA"
-93.80107, 32.40555, "Burger King; USA"
-93.86389, 32.44711, "Burger King; USA"
-93.72200, 32.45041, "Burger King; USA"
-93.74985, 32.39850, "Burger King; USA"
-91.56600, 41.67508, "Burger King; USA"
-91.62306, 41.97687, "Burger King; USA"
-91.67337, 41.94422, "Burger King; USA"
-91.58640, 42.03296, "Burger King; USA"
-91.67954, 42.03471, "Burger King; USA"
-91.62733, 42.02756, "Burger King; USA"
-91.71624, 41.97582, "Burger King; USA"
-91.70099, 42.01676, "Burger King; USA"
-118.24591, 34.11495, "Burger King; USA"
-118.21497, 34.13637, "Burger King; USA"
-118.21988, 34.08592, "Burger King; USA"
-118.23577, 33.97471, "Burger King; USA"
-118.29666, 34.09797, "Burger King; USA"
-81.55386, 41.01338, "Burger King; USA"
-81.49285, 40.98568, "Burger King; USA"
-81.65345, 41.13394, "Burger King; USA"
-81.42670, 41.03042, "Burger King; USA"
-81.49611, 41.07679, "Burger King; USA"
-81.49106, 41.03980, "Burger King; USA"
-81.51120, 41.02884, "Burger King; USA"
-81.57165, 41.06434, "Burger King; USA"
-81.54964, 40.99045, "Burger King; USA"
-86.30130, 32.38008, "Burger King; USA"
-86.35129, 32.38480, "Burger King; USA"
-86.28546, 32.35903, "Burger King; USA"
-86.21461, 32.35980, "Burger King; USA"
-86.42243, 32.46050, "Burger King; USA"
-86.35612, 32.26921, "Burger King; USA"
-79.77269, 36.09053, "Burger King; USA"
-79.82264, 36.10159, "Burger King; USA"
-79.86870, 36.06983, "Burger King; USA"
-79.83483, 36.04916, "Burger King; USA"
-79.83856, 36.01020, "Burger King; USA"
-79.77354, 36.04290, "Burger King; USA"
-80.27420, 36.18538, "Burger King; USA"
-79.88629, 36.05851, "Burger King; USA"
-80.30398, 36.06235, "Burger King; USA"
-80.22893, 36.10063, "Burger King; USA"
-80.25808, 36.06945, "Burger King; USA"
-80.30088, 36.14478, "Burger King; USA"
-80.28012, 36.15096, "Burger King; USA"
-80.33678, 36.07479, "Burger King; USA"
-79.86801, 36.03128, "Burger King; USA"
-79.86909, 36.02892, "Burger King; USA"
-80.10850, 36.07723, "Burger King; USA"
-97.62341, 27.86860, "Burger King; USA"
-97.40020, 27.79634, "Burger King; USA"
-97.39388, 27.79694, "Burger King; USA"
-71.48773, 41.85925, "Burger King; USA"
-71.43978, 41.86696, "Burger King; USA"
-71.44818, 41.86445, "Burger King; USA"
-71.44040, 41.78072, "Burger King; USA"
-71.40629, 41.79986, "Burger King; USA"
-71.44493, 41.81680, "Burger King; USA"
